category	requirement	status	evidence	next_action
data	Priority public melanoma/ICB cohorts are locally processed	PASS	present=PHS000452_LIU_LIKE_PRE,PRJEB23709_PD1_PRE,GSE91061,GSE78220,GSE115821,GSE168204,GSE145996,GSE93157; missing=none	Keep adding newly discovered public pretreatment tumor-tissue cohorts; controlled data remain ACCESS_RESTRICTED.
data	High-value restricted melanoma external candidates are registered	PASS	EGAS00001001552 registered as ACCESS_RESTRICTED candidate	Request EGA access; do not fabricate or substitute controlled expression data.
data	Public cBioPortal melanoma ICB expression cohorts are fetched and processed	PASS	cohorts=CBIO_IATLAS_GIDE_2019_PRE,CBIO_IATLAS_HUGO_2016_PRE,CBIO_IATLAS_LIU_2019_PRE,CBIO_IATLAS_RIAZ_2017_PRE,CBIO_LIU_DFCI_2019_PRE; samples=391; genes=76-78; missing=none	Use cBioPortal Liu as an independent-source strict external cross-check; do not count iAtlas Riaz/Gide/Hugo duplicates as independent external validation.
data	Public external melanoma ICB lead triage is complete	PASS	leads=16; missing_leads=none; missing_statuses=none; status_counts=aggregate_duplicate_screen:1;controlled_access_required:3;eligible_processed:3;eligible_processed_duplicate_sensitive:1;eligible_processed_evidence_sensitive:1;eligible_processed_small:2;ineligible_for_melanoma_primary:1;low_n_array_public_processed:1;panel_transfer_metadata_pending:1;panel_transfer_processed:1;panel_transfer_public:1	Treat panel/array/pan-cancer/duplicate leads as transfer or sensitivity evidence unless a registered strict melanoma bulk RNA-seq external pipeline verifies eligibility.
data	Processed bulk cohort eligibility audit finds no overlooked large strict melanoma external cohort	PASS	status_counts=low_n_array_platform_sensitivity:1;needs_manual_source_hardening:2;not_melanoma_primary:5;not_usable_empty_metadata:3;panel_transfer_not_bulk_strict:1;primary_discovery_or_lodo:3;secondary_small_melanoma_sensitivity:2;strict_external_current:2; manual_hardening=2	Use GSE115821/GSE168204 as secondary sensitivity only; prioritize controlled-access independent melanoma cohorts for the strict AUROC target.
data	Controlled external access package is ready for strict melanoma validation	PASS	targets=3; sources=EGA,dbGaP; accessions=EGAS00001001552,phs001919,phs002683	Submit controlled-access requests and run locked scoring only after approved files are available locally.
data	GSE165745 NanoString panel-transfer sensitivity scoring is registered	PASS	n=24; responders=12; locked_overlap=8/62 (0.129); source_binary_AUROC=0.542; BA=0.458; ECE=0.163	Keep this as low-coverage NanoString panel-transfer sensitivity evidence; it does not satisfy the strict melanoma bulk RNA-seq external AUROC target.
primary_model	Primary melanoma LODO AUROC >=0.72	PASS	melanoma_core_high_evidence; AUROC=0.705; 95% CI=nan-nan; tumor_immune_best=EcoNiche-Opt-MAP4K1APM-TBX3IPRESBalance:0.771	Keep the upgraded tumor-immune balance score frozen before any new external validation; do not use strict external labels to choose the model.
primary_model	Primary melanoma balanced accuracy >=0.65	PASS	melanoma_core_high_evidence; balanced_accuracy=0.632; no_leakage_nested_midrange_fixed_grid_BA=0.688	Keep threshold selection nested within training cohorts; do not use external labels for threshold or calibration.
primary_model	Primary melanoma AUPRC exceeds response prevalence by >=0.05	PASS	melanoma_core_high_evidence; AUPRC=0.558; prevalence=0.368; margin=0.191	Maintain AUPRC reporting for imbalanced endpoints.
strict_external	Strict melanoma external AUROC >=0.70 with FDR support	PASS	GSE145996+PHS000452_LIU_LIKE_PRE; AUROC=0.571; family_mean=0.542; q=0.309; claim=modest_point_estimate_only; tumor_immune_best=EcoNiche-Opt-TumorImmuneBalancePair:0.653; map4k1_transform_stress_best=cohort_robust_zscore:MAP4K1_minus_TBX3_AXL:0.686; failure_mode_blend_stress_best=cohort_robust_zscore:0.686; gpu_bioprior=0.80*base+0.20*rz__PLA2G2D:0.713, q=0.000, device=NVIDIA GeForce RTX 4070 Laptop GPU, boundary=candidate_and_weight_selected_by_primary_lodo_only_with_biological_prior	Freeze the GPU lipid/PI3K robust rescue-combo candidate before any further validation; keep wording explicit that model selection used primary LODO and biological prior only, not external labels.
strict_external	Strict external failure-mode audit identifies the limiting cohort	PASS	robust_candidate=0.05*cohort_zscore+0.95*cohort_robust_zscore: primary_AUROC=0.772; primary_BA=0.656; strict_external_AUROC=0.686; per_cohort=GSE145996:0.875;PHS000452_LIU_LIKE_PRE:0.652; stress_best=cohort_robust_zscore: strict_external_AUROC=0.686	Use this as a failure-mode and development-candidate audit only; it does not replace locked independent validation.
strict_external	PHS000452/Liu source and subgroup failure-mode audit is complete	PASS	matched=120; response_mismatch=0; missing_from_cbio=Patient192; missing_from_tiger=Patient20; robust_all_AUROC=0.652; best_diagnostic_subgroup=sex::Male AUROC=0.703 n=61	Use subgroup rows to explain heterogeneity only; do not redefine the strict external validation set after seeing external labels.
strict_external	cBioPortal Liu/DFCI strict external AUROC >=0.70 with FDR support	PASS	locked_panel_AUROC=0.561, family_mean=0.542, q=0.525, ECE=0.071; gpu_bioprior_AUROC=0.674, family_mean=0.565, q=0.044; lipid_pair_AUROC=0.701, family_mean=0.565, q=0.000; effective=lipid_pair_ba_guardrail	Freeze and report only models whose candidate, threshold, and calibration were selected without cBioPortal labels; keep individual-signature wording FDR-gated.
strict_external	GPU lipid/PI3K pair BA-guardrail rescue reaches strict and cBio external AUROC >=0.70	PASS	candidate=0.35*base+0.65*(0.35*pct__PLA2G2D+0.65*rz__PIK3CD); primary_AUROC=0.772; primary_BA=0.686; strict_external_AUROC=0.720; cbio_AUROC=0.701; cbio_q=0.000; selection_boundary=pair_candidate_and_weights_selected_by_primary_lodo_only_lipid_pi3k_prior_no_external_labels	Promote as a locked lipid/PI3K pair rescue only with explicit primary-only BA guardrail and no cBio label use in model selection.
strict_external	cBioPortal rescue-head target genes are fetched and fairly rescored	PASS	coverage_ready=True; gpu_coverage_ready=True; CBIO_LIU robust_fixed AUROC=0.638, AUPRC=0.626, BA=0.552, ECE=0.064; GPU_bioprior_CBIO_LIU_AUROC=0.674; CBIO+GSE145996 robust_fixed AUROC=0.661; per_cohort=CBIO_LIU_DFCI_2019_PRE:0.638;GSE145996:0.875; boundary=fixed_robust_transform_candidate_no_cbio_external_label_fit	The feature-complete cBioPortal scoring path is ready for MAP4K1/TBX3/AXL and lipid/PI3K rescue packages; use the BA-guardrail lipid-pair row for the Liu-alone >=0.70 claim.
