gate_id	evidence_type	endpoint	cohort_set	n_samples	target_AUROC	family_mean_AUROC	best_signature_AUROC	delta_vs_family_mean	two_sided_fdr_q	claim_status	allowed_claim	blocked_claim	required_next_evidence
pd1_like_transfer_head_pooled_strict_recist	secondary_pd1_like_rescue	strict_recist	GSE145996+PHS000452_LIU_LIKE_PRE	116	0.5952380952380951					secondary_model_development_rescue_not_primary_claim	describe as a transparent rescue analysis generated after identifying weak strict external performance	Do not use the transfer head as the primary locked external validation claim without a fresh cohort.	Freeze the transfer head first, then test it on a newly independent melanoma tumor-tissue cohort.
strict_family_clinical_benefit	strict_pd1_like_family_omnibus	clinical_benefit	GSE145996+PHS000452_LIU_LIKE_PRE	135	0.5855555555555555	0.5531666666666666	0.6046666666666666	0.0323888888888889	0.309	modest_point_estimate_only	strict melanoma PD1-like external scoring may be reported as a locked, refitting-free, modest point-estimate external support result	Do not claim AUROC >=0.70, FDR-supported strict melanoma external validation, or clinical-level validation from this stratum.	Freeze the score and validate it in an independent pretreatment melanoma tumor-tissue cohort with anti-PD1/anti-PD1-based therapy and RECIST labels, ideally n>=50-100.
strict_family_primary_recist	strict_pd1_like_family_omnibus	primary_recist	GSE145996+PHS000452_LIU_LIKE_PRE	135	0.5313479623824451	0.5187807881773399	0.5555306762203314	0.0125671742051052	0.54	modest_point_estimate_only	strict melanoma PD1-like external scoring may be reported as a locked, refitting-free, modest point-estimate external support result	Do not claim AUROC >=0.70, FDR-supported strict melanoma external validation, or clinical-level validation from this stratum.	Freeze the score and validate it in an independent pretreatment melanoma tumor-tissue cohort with anti-PD1/anti-PD1-based therapy and RECIST labels, ideally n>=50-100.
strict_family_strict_recist	strict_pd1_like_family_omnibus	strict_recist	GSE145996+PHS000452_LIU_LIKE_PRE	116	0.5711309523809525	0.5416294642857142	0.5904761904761904	0.0295014880952382	0.309	modest_point_estimate_only	strict melanoma PD1-like external scoring may be reported as a locked, refitting-free, modest point-estimate external support result	Do not claim AUROC >=0.70, FDR-supported strict melanoma external validation, or clinical-level validation from this stratum.	Freeze the score and validate it in an independent pretreatment melanoma tumor-tissue cohort with anti-PD1/anti-PD1-based therapy and RECIST labels, ideally n>=50-100.
strict_cohort_clinical_benefit_GSE145996	strict_pd1_like_single_cohort_metric	clinical_benefit	GSE145996	14	0.6222222222222222					cohort_support_moderate	report as a cohort-specific locked external metric with n, endpoint, and calibration metrics	Do not generalize this single cohort into clinical validation or pan-cohort superiority.	Use only as one component of the strict external evidence hierarchy.
strict_cohort_clinical_benefit_PHS000452_LIU_LIKE_PRE	strict_pd1_like_single_cohort_metric	clinical_benefit	PHS000452_LIU_LIKE_PRE	121	0.5829201101928375					cohort_support_weak_or_modest	report as a cohort-specific locked external metric with n, endpoint, and calibration metrics	Do not generalize this single cohort into clinical validation or pan-cohort superiority.	Use only as one component of the strict external evidence hierarchy.
strict_cohort_primary_recist_GSE145996	strict_pd1_like_single_cohort_metric	primary_recist	GSE145996	14	0.5208333333333334					cohort_support_weak_or_modest	report as a cohort-specific locked external metric with n, endpoint, and calibration metrics	Do not generalize this single cohort into clinical validation or pan-cohort superiority.	Use only as one component of the strict external evidence hierarchy.
strict_cohort_primary_recist_PHS000452_LIU_LIKE_PRE	strict_pd1_like_single_cohort_metric	primary_recist	PHS000452_LIU_LIKE_PRE	121	0.5349295774647889					cohort_support_weak_or_modest	report as a cohort-specific locked external metric with n, endpoint, and calibration metrics	Do not generalize this single cohort into clinical validation or pan-cohort superiority.	Use only as one component of the strict external evidence hierarchy.
strict_cohort_strict_recist_GSE145996	strict_pd1_like_single_cohort_metric	strict_recist	GSE145996	13	0.575					cohort_support_weak_or_modest	report as a cohort-specific locked external metric with n, endpoint, and calibration metrics	Do not generalize this single cohort into clinical validation or pan-cohort superiority.	Use only as one component of the strict external evidence hierarchy.
strict_cohort_strict_recist_PHS000452_LIU_LIKE_PRE	strict_pd1_like_single_cohort_metric	strict_recist	PHS000452_LIU_LIKE_PRE	103	0.5731060606060606					cohort_support_weak_or_modest	report as a cohort-specific locked external metric with n, endpoint, and calibration metrics	Do not generalize this single cohort into clinical validation or pan-cohort superiority.	Use only as one component of the strict external evidence hierarchy.
